Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUD_CAD,0.9453,0.0004,0.000039,0.000039,0.0001,0.000075,0,100,1,0.000075,AUD_CAD
AUD_CHF,0.7064,0.0005,0.000039,0.000039,0.0001,0.0001,0,100,1,0.0001,AUD_CHF
AUD_HKD,5.552,0.0025,0.000039,0.000039,0.0001,0.000013,0,50,1,0.000013,AUD_HKD
AUD_JPY,78.77,0.04,0.000039,0.000039,0.01,0.00009,0,100,1,0.00009,AUD_JPY
AUD_NZD,1.0464,0.0004,0.000039,0.000039,0.0001,0.000068,0,100,1,0.000068,AUD_NZD
AUD_SGD,0.9587,0.0005,0.000039,0.000039,0.0001,0.000074,0,50,1,0.000074,AUD_SGD
AUD_USD,0.7073,0.0003,0.000039,0.000039,0.0001,0.0001,0,100,1,0.0001,AUD_USD
CAD_CHF,0.7494,0.0005,0.000041,0.000041,0.0001,0.0001,0,100,1,0.0001,CAD_CHF
CAD_HKD,5.889,0.002,0.000041,0.000041,0.0001,0.000013,0,50,1,0.000013,CAD_HKD
CAD_JPY,83.56,0.04,0.000041,0.000041,0.01,0.00009,0,100,1,0.00009,CAD_JPY
CAD_SGD,1.0168,0.0005,0.000041,0.000041,0.0001,0.000074,0,50,1,0.000074,CAD_SGD
CHF_HKD,7.8568,0.0025,0.000055,0.000055,0.0001,0.000013,0,50,1,0.000013,CHF_HKD
CHF_JPY,111.48,0.04,0.000055,0.000055,0.01,0.00009,0,100,1,0.00009,CHF_JPY
EUR_AUD,1.5838,0.0004,0.000061,0.000061,0.0001,0.000071,0,100,1,0.000071,EUR_AUD
EUR_CAD,1.4932,0.0004,0.000061,0.000061,0.0001,0.000075,0,100,1,0.000075,EUR_CAD
EUR_CHF,1.1192,0.0004,0.000061,0.000061,0.0001,0.0001,0,100,1,0.0001,EUR_CHF
EUR_GBP,0.8596,0.0004,0.000061,0.000061,0.0001,0.00013,0,100,1,0.00013,EUR_GBP
EUR_HKD,8.7958,0.0025,0.000061,0.000061,0.0001,0.000013,0,50,1,0.000013,EUR_HKD
EUR_JPY,124.8,0.03,0.000061,0.000061,0.01,0.00009,0,100,1,0.00009,EUR_JPY
EUR_NZD,1.6578,0.0005,0.000061,0.000061,0.0001,0.000068,0,100,1,0.000068,EUR_NZD
EUR_SGD,1.5187,0.0006,0.000061,0.000061,0.0001,0.000074,0,50,1,0.000074,EUR_SGD
EUR_USD,1.1205,0.0003,0.000061,0.000061,0.0001,0.0001,0,100,1,0.0001,EUR_USD
GBP_AUD,1.8422,0.0006,0.000071,0.000071,0.0001,0.000071,0,100,1,0.000071,GBP_AUD
GBP_CAD,1.7366,0.0006,0.000071,0.000071,0.0001,0.000075,0,100,1,0.000075,GBP_CAD
GBP_CHF,1.3016,0.0005,0.000071,0.000071,0.0001,0.0001,0,100,1,0.0001,GBP_CHF
GBP_HKD,10.2307,0.0025,0.000071,0.000071,0.0001,0.000013,0,50,1,0.000013,GBP_HKD
GBP_JPY,145.15,0.04,0.000071,0.000071,0.01,0.00009,0,100,1,0.00009,GBP_JPY
GBP_NZD,1.928,0.0006,0.000071,0.000071,0.0001,0.000068,0,100,1,0.000068,GBP_NZD
GBP_SGD,1.7664,0.0007,0.000071,0.000071,0.0001,0.000074,0,50,1,0.000074,GBP_SGD
GBP_USD,1.3032,0.0004,0.000071,0.000071,0.0001,0.0001,0,100,1,0.0001,GBP_USD
HKD_JPY,14.1853,0.003,0.000007,0.000007,0.01,0.00009,0,50,1,0.00009,HKD_JPY
NZD_CAD,0.9008,0.0004,0.000037,0.000037,0.0001,0.000075,0,100,1,0.000075,NZD_CAD
NZD_CHF,0.6751,0.0005,0.000037,0.000037,0.0001,0.0001,0,100,1,0.0001,NZD_CHF
NZD_HKD,5.3069,0.0025,0.000037,0.000037,0.0001,0.000013,0,50,1,0.000013,NZD_HKD
NZD_JPY,75.29,0.04,0.000037,0.000037,0.01,0.00009,0,100,1,0.00009,NZD_JPY
NZD_SGD,0.9163,0.0006,0.000037,0.000037,0.0001,0.000074,0,50,1,0.000074,NZD_SGD
NZD_USD,0.6761,0.0004,0.000037,0.000037,0.0001,0.0001,0,100,1,0.0001,NZD_USD
SGD_CHF,0.7367,0.0005,0.00004,0.00004,0.0001,0.0001,0,50,1,0.0001,SGD_CHF
SGD_HKD,5.791,0.002,0.00004,0.00004,0.0001,0.000013,0,50,1,0.000013,SGD_HKD
SGD_JPY,82.147,0.04,0.00004,0.00004,0.01,0.00009,0,50,1,0.00009,SGD_JPY
USD_CAD,1.3325,0.0004,0.000055,0.000055,0.0001,0.000075,0,100,1,0.000075,USD_CAD
USD_CHF,0.9986,0.0003,0.000055,0.000055,0.0001,0.0001,0,100,1,0.0001,USD_CHF
USD_HKD,7.8496,0.001,0.000055,0.000055,0.0001,0.000013,0,50,1,0.000013,USD_HKD
USD_JPY,111.34,0.03,0.000055,0.000055,0.01,0.00009,0,100,1,0.00009,USD_JPY
USD_SGD,1.3555,0.0004,0.000055,0.000055,0.0001,0.000074,0,50,1,0.000074,USD_SGD
